                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95378,                  1.352,                 1.0348,                0.90702,                0.56911,                0.62936,                0.50392,                0.70832,                0.67817,                0.90292,             0.00033252,             0.00033252,             0.00033252
                      2,                0.80634,                0.72304,                0.95702,                0.67535,                0.78076,                0.80988,                0.64215,                0.69887,                0.60187,                0.89275,             0.00044612,             0.00044612,             0.00044612
                      3,                0.74691,                 0.6318,                0.93442,                0.91119,                0.74343,                0.84129,                0.68576,                0.63786,                0.53021,                0.87199,             0.00033972,             0.00033972,             0.00033972
