                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97477,                 1.4906,                 1.0538,                0.88981,                0.56864,                0.60397,                0.47559,                0.74301,                0.71295,                0.91113,               0.070074,              0.0033252,              0.0033252
                      2,                0.83932,                0.77501,                0.98254,                0.91054,                0.58271,                0.63036,                0.50733,                0.68998,                 0.6302,                0.89138,               0.037876,              0.0044612,              0.0044612
                      3,                0.79317,                0.69875,                0.96323,                 0.7807,                0.65052,                0.67935,                0.55934,                0.65295,                0.57377,                0.87668,              0.0034789,              0.0033972,              0.0033972
