                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99723,                 1.5251,                 1.0414,                0.89234,                0.56382,                0.60487,                0.47572,                0.74871,                0.71328,                0.89984,               0.067081,             0.00033252,             0.00033252
                      2,                0.83362,                0.71163,                0.96548,                0.91111,                0.58554,                0.65837,                0.52917,                 0.6887,                0.58184,                0.88111,               0.034068,             0.00065267,             0.00065267
                      3,                0.79766,                0.63712,                0.95215,                  0.892,                0.74725,                0.84258,                 0.6833,                0.65283,                0.52872,                0.87448,              0.0010413,             0.00095962,             0.00095962
                      4,                0.77251,                 0.6027,                0.94378,                0.82689,                0.79581,                0.85035,                 0.6884,                 0.6631,                   0.51,                 0.8828,              0.0009406,              0.0009406,              0.0009406
                      5,                0.75347,                 0.5747,                0.93972,                0.78578,                0.84856,                0.86422,                0.71742,                0.62993,                0.48783,                 0.8673,              0.0009208,              0.0009208,              0.0009208
                      6,                0.74072,                0.55867,                0.93458,                0.82122,                0.84144,                0.88062,                0.73156,                0.61772,                0.46647,                0.86972,               0.000901,               0.000901,               0.000901
                      7,                0.72628,                0.54287,                0.93067,                0.76985,                0.83162,                0.87144,                0.71668,                0.62513,                0.47341,                0.86869,              0.0008812,              0.0008812,              0.0008812
                      8,                0.71529,                0.53235,                0.92703,                0.89248,                0.79234,                0.86552,                0.72137,                0.60892,                0.45953,                0.86822,              0.0008614,              0.0008614,              0.0008614
                      9,                0.71131,                0.52635,                0.92695,                0.83186,                0.82437,                0.88503,                0.73243,                0.60797,                0.45497,                0.86683,              0.0008416,              0.0008416,              0.0008416
                     10,                0.70435,                0.51746,                0.92204,                0.81722,                0.86636,                0.89242,                0.74922,                0.59506,                0.45421,                0.86319,              0.0008218,              0.0008218,              0.0008218
                     11,                0.69484,                0.50745,                0.92089,                0.83513,                0.86721,                0.89576,                0.75823,                0.58766,                0.43925,                 0.8623,               0.000802,               0.000802,               0.000802
                     12,                 0.6905,                0.50298,                 0.9208,                0.79532,                0.88943,                0.89288,                0.75385,                0.57918,                0.42775,                0.85828,              0.0007822,              0.0007822,              0.0007822
                     13,                0.68278,                 0.4949,                0.91779,                0.85945,                0.84455,                0.89535,                0.75403,                0.57629,                0.42367,                0.85828,              0.0007624,              0.0007624,              0.0007624
                     14,                0.68104,                0.49439,                0.91634,                0.89493,                 0.8146,                0.89698,                 0.7625,                0.57388,                0.43364,                0.86067,              0.0007426,              0.0007426,              0.0007426
                     15,                0.67131,                0.48689,                0.91445,                0.79438,                 0.8446,                0.88703,                0.75015,                0.57093,                0.41828,                0.85659,              0.0007228,              0.0007228,              0.0007228
                     16,                0.67213,                0.48508,                 0.9139,                0.78467,                0.86812,                0.88171,                0.75869,                0.55901,                0.41219,                0.85232,               0.000703,               0.000703,               0.000703
                     17,                0.66705,                0.48022,                0.91146,                0.85159,                0.84861,                0.89306,                0.76145,                0.55685,                 0.4108,                0.85441,              0.0006832,              0.0006832,              0.0006832
                     18,                0.66253,                0.47452,                0.91097,                0.82896,                0.84293,                0.89273,                0.76469,                0.55849,                0.40977,                 0.8493,              0.0006634,              0.0006634,              0.0006634
                     19,                0.65361,                0.46945,                0.90741,                0.81277,                0.87642,                0.89383,                0.76631,                0.55626,                0.40575,                0.84685,              0.0006436,              0.0006436,              0.0006436
                     20,                0.65235,                0.46568,                0.90729,                0.81518,                0.86633,                0.89942,                0.77167,                0.54322,                0.39722,                0.84954,              0.0006238,              0.0006238,              0.0006238
                     21,                0.65138,                0.46251,                0.90682,                0.83924,                0.86842,                 0.8971,                0.76877,                0.54319,                0.39497,                0.84764,               0.000604,               0.000604,               0.000604
                     22,                0.64483,                0.45895,                 0.9044,                0.77931,                0.89628,                0.88991,                0.76454,                0.54221,                0.38965,                0.84952,              0.0005842,              0.0005842,              0.0005842
                     23,                0.64427,                0.45931,                0.90405,                0.83329,                0.89689,                0.90613,                0.77771,                0.54253,                0.39105,                0.84792,              0.0005644,              0.0005644,              0.0005644
                     24,                0.63916,                0.45304,                0.90316,                0.84471,                0.88113,                0.91187,                0.78252,                0.53771,                0.38831,                0.84693,              0.0005446,              0.0005446,              0.0005446
                     25,                0.63301,                0.44945,                0.90122,                0.86228,                 0.8527,                0.91277,                0.78603,                0.53547,                0.38554,                0.84773,              0.0005248,              0.0005248,              0.0005248
                     26,                 0.6288,                0.44532,                0.89943,                0.80563,                0.94267,                 0.9067,                0.77944,                0.53853,                0.38957,                0.84888,               0.000505,               0.000505,               0.000505
                     27,                0.62696,                0.44233,                0.89891,                0.86168,                0.86099,                 0.9077,                0.78383,                0.52988,                0.38177,                0.84575,              0.0004852,              0.0004852,              0.0004852
                     28,                0.62519,                0.44209,                0.89918,                0.87955,                0.84485,                0.91869,                  0.799,                0.52672,                0.37677,                0.84605,              0.0004654,              0.0004654,              0.0004654
                     29,                0.62108,                0.43835,                0.89809,                0.87617,                0.84508,                0.90557,                0.78647,                0.52183,                0.37891,                0.84563,              0.0004456,              0.0004456,              0.0004456
                     30,                 0.6175,                0.43494,                 0.8959,                0.89381,                0.84897,                0.91687,                0.80035,                0.51969,                0.37281,                0.84575,              0.0004258,              0.0004258,              0.0004258
                     31,                0.61081,                0.43108,                0.89473,                0.85161,                0.88421,                0.91562,                0.80117,                0.51817,                0.37034,                0.84395,               0.000406,               0.000406,               0.000406
                     32,                0.60989,                0.42856,                0.89328,                0.85439,                0.89782,                0.91528,                0.79502,                0.51404,                0.36948,                0.84227,              0.0003862,              0.0003862,              0.0003862
                     33,                0.60833,                0.42561,                0.89209,                0.85509,                0.87631,                0.90144,                0.78487,                0.51295,                0.36873,                0.83914,              0.0003664,              0.0003664,              0.0003664
                     34,                0.60192,                0.42185,                0.89136,                0.89508,                 0.8548,                0.92637,                0.80793,                 0.5075,                0.36086,                 0.8418,              0.0003466,              0.0003466,              0.0003466
                     35,                0.59952,                0.41851,                0.89037,                0.83943,                0.90662,                0.90806,                0.79445,                0.51057,                0.36355,                0.83992,              0.0003268,              0.0003268,              0.0003268
                     36,                0.59809,                0.41602,                0.88809,                0.86186,                0.89313,                0.92537,                0.81203,                0.50429,                0.35783,                0.83672,               0.000307,               0.000307,               0.000307
                     37,                0.59213,                0.41351,                0.88741,                0.87548,                0.87474,                0.92086,                0.80543,                0.50956,                0.36135,                0.83932,              0.0002872,              0.0002872,              0.0002872
                     38,                0.58938,                0.41053,                0.88752,                0.89183,                0.87129,                0.92861,                0.81321,                0.50819,                 0.3606,                0.83951,              0.0002674,              0.0002674,              0.0002674
                     39,                0.58628,                0.40576,                0.88579,                0.83481,                0.90298,                 0.9174,                0.80353,                0.50085,                0.35389,                0.83987,              0.0002476,              0.0002476,              0.0002476
                     40,                0.58082,                0.40217,                0.88415,                0.86348,                 0.8992,                0.91898,                0.80563,                0.49978,                0.35411,                0.83648,              0.0002278,              0.0002278,              0.0002278
                     41,                0.57898,                0.39958,                0.88422,                0.84538,                0.89514,                0.91718,                0.80508,                0.49526,                0.35215,                0.83706,               0.000208,               0.000208,               0.000208
                     42,                0.57215,                0.39554,                0.88095,                0.86619,                0.88416,                0.92602,                0.81265,                0.49223,                0.34925,                0.83614,              0.0001882,              0.0001882,              0.0001882
                     43,                0.57235,                0.39362,                0.88247,                0.89164,                0.87122,                0.92572,                0.81524,                0.49073,                0.34787,                0.83643,              0.0001684,              0.0001684,              0.0001684
                     44,                0.56831,                0.39099,                0.88004,                0.86207,                0.90296,                0.92961,                0.81496,                0.48963,                0.34615,                0.83522,              0.0001486,              0.0001486,              0.0001486
                     45,                0.56544,                0.38744,                0.87807,                0.85551,                0.90565,                0.92913,                0.81656,                0.48927,                0.34532,                 0.8327,              0.0001288,              0.0001288,              0.0001288
                     46,                0.55927,                0.38326,                0.87771,                 0.8625,                0.89957,                0.93076,                0.81972,                0.48619,                0.34362,                 0.8339,               0.000109,               0.000109,               0.000109
                     47,                0.55495,                0.38022,                0.87455,                0.86875,                0.92458,                0.93408,                0.82135,                0.48466,                 0.3408,                0.83227,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.55382,                0.37839,                0.87545,                0.87972,                0.91397,                0.93465,                 0.8232,                0.48356,                0.33997,                0.83091,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                0.54889,                0.37451,                 0.8745,                0.87096,                0.91141,                 0.9328,                 0.8223,                0.48222,                 0.3387,                0.83262,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                0.54748,                0.37231,                0.87234,                0.87328,                0.91071,                 0.9314,                0.82205,                0.48056,                0.33819,                0.83018,               2.98e-05,               2.98e-05,               2.98e-05
