                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97228,                 1.0697,                 1.0222,                0.76247,                0.60859,                0.64365,                0.49731,                0.79997,                0.68593,                 0.9213,               0.067081,             0.00033252,             0.00033252
                      2,                0.84397,                0.67691,                0.97392,                0.75181,                0.73479,                0.77439,                 0.6082,                0.73345,                0.57923,                0.91088,               0.034074,             0.00065926,             0.00065926
                      3,                0.81412,                0.62496,                0.96378,                0.79258,                0.79919,                0.86607,                0.70443,                0.67997,                0.52833,                  0.892,              0.0010611,              0.0009794,              0.0009794
                      4,                0.78828,                0.59747,                0.95712,                0.76492,                0.78887,                0.84635,                0.68095,                 0.6735,                0.50547,                0.89109,              0.0009703,              0.0009703,              0.0009703
                      5,                0.76139,                0.56659,                0.94861,                0.74471,                0.82523,                 0.8531,                0.71241,                0.63663,                0.48525,                 0.8788,              0.0009604,              0.0009604,              0.0009604
                      6,                 0.7469,                0.55285,                0.94287,                0.82434,                0.79865,                0.86637,                0.71112,                0.61029,                0.46897,                0.87198,              0.0009505,              0.0009505,              0.0009505
                      7,                0.73315,                0.53913,                0.93874,                0.78044,                0.86296,                0.86873,                0.70315,                0.64042,                0.47734,                0.88284,              0.0009406,              0.0009406,              0.0009406
                      8,                0.71969,                0.52692,                0.93252,                0.83946,                0.80258,                0.86234,                0.70455,                0.61984,                0.46712,                0.87403,              0.0009307,              0.0009307,              0.0009307
                      9,                0.71306,                0.51975,                0.93137,                0.83533,                0.82161,                0.87427,                0.73028,                0.61506,                0.45919,                0.87495,              0.0009208,              0.0009208,              0.0009208
                     10,                0.70425,                 0.5111,                0.92545,                0.81787,                0.83885,                0.86922,                0.72436,                0.59641,                0.43935,                0.86871,              0.0009109,              0.0009109,              0.0009109
                     11,                0.69665,                0.50101,                0.92365,                0.79998,                0.88936,                0.90207,                0.76508,                0.57898,                0.42516,                0.86237,               0.000901,               0.000901,               0.000901
                     12,                0.68967,                0.49844,                0.92257,                 0.8365,                0.86757,                0.88954,                0.75463,                 0.5799,                0.43129,                0.86253,              0.0008911,              0.0008911,              0.0008911
                     13,                 0.6846,                0.49215,                0.92022,                0.87213,                0.81494,                0.89094,                0.75589,                0.57336,                0.42226,                0.85927,              0.0008812,              0.0008812,              0.0008812
                     14,                0.67915,                0.48794,                0.91684,                  0.867,                0.82181,                0.89994,                 0.7637,                0.57701,                 0.4222,                0.85884,              0.0008713,              0.0008713,              0.0008713
                     15,                0.67098,                0.48184,                0.91641,                0.85847,                0.83637,                0.89411,                0.75941,                0.56621,                 0.4103,                0.85474,              0.0008614,              0.0008614,              0.0008614
                     16,                 0.6705,                0.47841,                0.91474,                0.75617,                0.87358,                0.88367,                 0.7562,                0.55986,                0.41236,                0.85575,              0.0008515,              0.0008515,              0.0008515
                     17,                0.66634,                0.47588,                0.91224,                0.81941,                0.88331,                 0.9031,                0.77518,                0.55166,                0.40388,                 0.8563,              0.0008416,              0.0008416,              0.0008416
                     18,                0.66295,                0.47245,                0.91276,                0.79086,                0.86102,                 0.8916,                0.75994,                0.56242,                0.40899,                0.85624,              0.0008317,              0.0008317,              0.0008317
                     19,                0.65538,                0.46684,                0.90973,                0.83854,                0.85355,                0.90332,                0.77176,                0.55547,                0.40231,                0.85241,              0.0008218,              0.0008218,              0.0008218
                     20,                0.65293,                0.46282,                0.90825,                0.81851,                0.88958,                0.90557,                0.77539,                0.54551,                0.39538,                0.85044,              0.0008119,              0.0008119,              0.0008119
                     21,                0.65051,                0.45886,                0.90715,                0.79008,                  0.877,                0.88693,                0.75551,                0.56239,                0.40068,                 0.8572,               0.000802,               0.000802,               0.000802
                     22,                0.64705,                0.45754,                0.90685,                0.89057,                0.83173,                0.90209,                0.77227,                0.54266,                0.38805,                0.84831,              0.0007921,              0.0007921,              0.0007921
                     23,                0.64462,                0.45454,                0.90526,                0.82519,                0.89206,                0.90851,                0.78281,                0.54498,                0.39042,                0.84999,              0.0007822,              0.0007822,              0.0007822
                     24,                0.63941,                0.44982,                0.90395,                0.86329,                0.85202,                0.90377,                0.78169,                0.53938,                0.39105,                0.84603,              0.0007723,              0.0007723,              0.0007723
                     25,                 0.6365,                0.44784,                0.90235,                0.88497,                0.87382,                0.90999,                0.78755,                0.53674,                 0.3849,                0.84943,              0.0007624,              0.0007624,              0.0007624
                     26,                0.63246,                0.44397,                0.90107,                0.82086,                0.87015,                0.88631,                0.76845,                0.53922,                0.38885,                0.85038,              0.0007525,              0.0007525,              0.0007525
                     27,                0.63091,                0.44233,                0.90022,                0.82689,                0.86187,                0.89783,                0.77522,                0.53611,                0.38047,                0.84652,              0.0007426,              0.0007426,              0.0007426
                     28,                0.62896,                0.44089,                0.90117,                0.86975,                 0.8658,                0.90537,                0.78396,                0.53174,                0.37901,                0.84773,              0.0007327,              0.0007327,              0.0007327
                     29,                0.62682,                0.43814,                0.89957,                0.85985,                0.88574,                0.90339,                0.78449,                0.52464,                0.37598,                0.84201,              0.0007228,              0.0007228,              0.0007228
                     30,                 0.6241,                0.43635,                0.89914,                0.83911,                 0.8921,                0.90766,                0.79694,                0.52312,                0.37182,                0.84508,              0.0007129,              0.0007129,              0.0007129
                     31,                0.61896,                0.43189,                0.89766,                0.83105,                0.89452,                0.90998,                 0.7917,                0.52179,                0.37174,                0.84474,               0.000703,               0.000703,               0.000703
                     32,                0.61882,                0.43226,                0.89696,                 0.8786,                0.86026,                0.91456,                 0.7947,                0.51969,                0.36977,                  0.843,              0.0006931,              0.0006931,              0.0006931
                     33,                0.61783,                0.42961,                0.89707,                0.84921,                0.88192,                0.91115,                0.79081,                0.51675,                0.36824,                0.84512,              0.0006832,              0.0006832,              0.0006832
                     34,                0.61155,                0.42606,                0.89515,                0.86728,                0.89158,                0.91998,                0.80265,                  0.512,                0.36142,                0.84412,              0.0006733,              0.0006733,              0.0006733
                     35,                0.61105,                0.42474,                0.89533,                0.85353,                0.86083,                0.90425,                0.78401,                0.51068,                0.36466,                0.84349,              0.0006634,              0.0006634,              0.0006634
                     36,                0.61111,                0.42389,                0.89331,                0.87349,                0.87904,                0.91436,                0.79838,                0.51471,                0.36268,                0.84119,              0.0006535,              0.0006535,              0.0006535
                     37,                0.60686,                0.42194,                0.89253,                0.81657,                0.90314,                 0.9148,                0.79068,                0.51151,                0.36196,                0.84063,              0.0006436,              0.0006436,              0.0006436
                     38,                  0.606,                0.42019,                0.89311,                0.85955,                0.88838,                0.91992,                0.80492,                 0.5162,                0.36553,                 0.8406,              0.0006337,              0.0006337,              0.0006337
                     39,                0.60376,                0.41639,                0.89087,                0.85924,                0.89427,                0.91491,                0.79929,                0.50965,                0.35967,                0.83803,              0.0006238,              0.0006238,              0.0006238
                     40,                0.59977,                0.41541,                0.89086,                0.84316,                0.89597,                0.91171,                0.79907,                0.50784,                 0.3576,                0.84035,              0.0006139,              0.0006139,              0.0006139
                     41,                0.59916,                 0.4149,                0.89112,                0.86461,                0.88942,                0.91573,                0.80052,                0.50087,                0.35414,                0.83808,               0.000604,               0.000604,               0.000604
                     42,                0.59381,                0.41121,                0.88798,                0.86479,                0.88126,                0.91977,                0.80169,                0.50735,                0.35573,                0.83956,              0.0005941,              0.0005941,              0.0005941
                     43,                0.59691,                0.40908,                0.88993,                0.85299,                0.89987,                0.92463,                0.81247,                0.50199,                0.35333,                0.83655,              0.0005842,              0.0005842,              0.0005842
                     44,                 0.5939,                0.40859,                0.88795,                0.86974,                0.87812,                0.91924,                0.80508,                0.49949,                0.35176,                0.83704,              0.0005743,              0.0005743,              0.0005743
                     45,                0.59415,                0.40816,                0.88801,                0.86494,                0.89251,                0.92405,                0.81463,                0.49883,                0.35148,                0.83679,              0.0005644,              0.0005644,              0.0005644
                     46,                0.58896,                0.40525,                 0.8866,                0.87359,                0.88888,                0.92504,                0.81087,                0.50021,                0.35056,                0.83843,              0.0005545,              0.0005545,              0.0005545
                     47,                0.58423,                0.40293,                0.88408,                0.87016,                0.90993,                0.92475,                0.81004,                0.49725,                0.34714,                0.83482,              0.0005446,              0.0005446,              0.0005446
                     48,                0.58723,                0.40262,                0.88598,                0.86339,                0.91926,                 0.9296,                0.81663,                0.49577,                0.34668,                0.83436,              0.0005347,              0.0005347,              0.0005347
                     49,                0.58325,                0.39995,                0.88514,                0.85159,                0.90701,                0.91816,                0.80552,                0.49488,                0.34741,                0.83739,              0.0005248,              0.0005248,              0.0005248
                     50,                0.58196,                0.39899,                0.88247,                0.89345,                0.87085,                0.92087,                 0.8115,                0.49473,                0.34566,                 0.8353,              0.0005149,              0.0005149,              0.0005149
                     51,                 0.5817,                0.39757,                0.88271,                0.87026,                0.88094,                0.92376,                0.81194,                0.49003,                0.34436,                0.83632,               0.000505,               0.000505,               0.000505
                     52,                0.57949,                0.39663,                 0.8826,                0.85936,                0.92055,                0.92766,                0.81945,                0.49177,                0.34441,                0.83481,              0.0004951,              0.0004951,              0.0004951
                     53,                0.57812,                0.39604,                0.88311,                0.86386,                0.91393,                 0.9275,                0.81776,                0.48809,                0.34265,                0.83601,              0.0004852,              0.0004852,              0.0004852
                     54,                0.57632,                0.39395,                0.88216,                0.84463,                0.90279,                0.92571,                 0.8213,                0.48801,                 0.3421,                0.83709,              0.0004753,              0.0004753,              0.0004753
                     55,                 0.5711,                0.39037,                 0.8779,                0.87013,                0.89131,                0.92414,                0.81669,                0.48571,                0.33968,                0.83361,              0.0004654,              0.0004654,              0.0004654
                     56,                0.57321,                0.39233,                0.88102,                 0.8584,                 0.9256,                0.92773,                0.82022,                0.48542,                0.33966,                0.83296,              0.0004555,              0.0004555,              0.0004555
                     57,                0.57101,                0.38968,                0.87871,                0.86711,                0.89003,                0.91839,                0.81154,                 0.4859,                0.33758,                0.83504,              0.0004456,              0.0004456,              0.0004456
                     58,                0.56903,                0.38683,                0.87863,                0.87775,                0.89741,                0.92313,                0.81667,                0.48457,                 0.3382,                0.83293,              0.0004357,              0.0004357,              0.0004357
                     59,                0.57015,                0.38774,                0.87886,                0.85982,                0.90282,                0.92451,                0.81724,                0.48374,                0.33785,                0.83434,              0.0004258,              0.0004258,              0.0004258
                     60,                0.56478,                0.38471,                0.87777,                0.88818,                0.89697,                0.92531,                0.81798,                0.48333,                0.33634,                0.83361,              0.0004159,              0.0004159,              0.0004159
                     61,                0.56606,                0.38395,                0.87825,                0.89269,                0.89054,                0.92679,                0.81953,                 0.4851,                0.33709,                 0.8301,               0.000406,               0.000406,               0.000406
                     62,                0.56505,                 0.3837,                0.87795,                0.88415,                0.89136,                0.92543,                0.81832,                0.48237,                0.33581,                  0.831,              0.0003961,              0.0003961,              0.0003961
                     63,                0.56144,                0.38111,                0.87756,                0.89247,                0.88734,                0.92842,                0.82075,                0.48332,                0.33491,                0.83328,              0.0003862,              0.0003862,              0.0003862
                     64,                 0.5578,                0.37952,                0.87584,                0.88101,                0.89976,                0.93039,                0.82138,                0.48013,                0.33512,                0.83097,              0.0003763,              0.0003763,              0.0003763
                     65,                  0.559,                0.37918,                0.87556,                0.87597,                0.90951,                0.92844,                0.82625,                0.47805,                0.33216,                 0.8301,              0.0003664,              0.0003664,              0.0003664
                     66,                0.55738,                0.37735,                 0.8758,                0.88676,                0.90867,                0.93269,                 0.8245,                0.47846,                 0.3334,                0.83089,              0.0003565,              0.0003565,              0.0003565
                     67,                0.55547,                0.37493,                0.87586,                0.84981,                0.92574,                0.93058,                0.82513,                0.47898,                0.33313,                0.83435,              0.0003466,              0.0003466,              0.0003466
                     68,                0.55773,                0.37755,                0.87448,                0.87374,                0.89641,                 0.9292,                0.82453,                 0.4783,                0.33266,                0.83258,              0.0003367,              0.0003367,              0.0003367
                     69,                0.55535,                0.37356,                 0.8753,                0.87587,                0.88606,                0.93142,                 0.8285,                0.47644,                0.33033,                 0.8338,              0.0003268,              0.0003268,              0.0003268
                     70,                0.55256,                0.37304,                0.87332,                0.83784,                0.93089,                0.92153,                0.81782,                 0.4769,                0.33097,                0.83298,              0.0003169,              0.0003169,              0.0003169
                     71,                0.55116,                0.37185,                0.87377,                0.90823,                0.87693,                0.92797,                0.82267,                0.47551,                0.32983,                0.83149,               0.000307,               0.000307,               0.000307
                     72,                0.54515,                0.36951,                0.87341,                0.91859,                0.86532,                0.93088,                0.82573,                0.47418,                 0.3297,                0.83227,              0.0002971,              0.0002971,              0.0002971
                     73,                 0.5463,                0.36869,                0.87173,                0.89055,                0.87286,                0.92353,                 0.8184,                0.47484,                0.32871,                0.83177,              0.0002872,              0.0002872,              0.0002872
                     74,                0.54652,                 0.3689,                0.87116,                0.90572,                0.88049,                0.92662,                0.82301,                0.47276,                0.32811,                0.82896,              0.0002773,              0.0002773,              0.0002773
                     75,                0.54412,                0.36721,                0.87278,                0.89262,                0.87755,                0.92771,                0.82477,                0.47333,                0.32695,                0.83153,              0.0002674,              0.0002674,              0.0002674
                     76,                0.54449,                0.36635,                0.87223,                0.90431,                0.89213,                  0.934,                0.82864,                0.47233,                 0.3262,                0.83069,              0.0002575,              0.0002575,              0.0002575
                     77,                0.54323,                0.36339,                0.87007,                0.91137,                0.85846,                0.92553,                0.82466,                0.47235,                 0.3273,                0.83068,              0.0002476,              0.0002476,              0.0002476
                     78,                0.54144,                0.36454,                0.87253,                0.84617,                0.91335,                 0.9221,                0.82216,                0.47213,                0.32592,                0.83068,              0.0002377,              0.0002377,              0.0002377
                     79,                0.54105,                0.36411,                0.86943,                0.88112,                0.89169,                0.92799,                0.82654,                0.47196,                0.32564,                0.83074,              0.0002278,              0.0002278,              0.0002278
                     80,                0.53695,                0.36021,                0.86782,                0.85393,                0.90946,                0.92583,                0.82567,                0.47268,                0.32557,                0.83066,              0.0002179,              0.0002179,              0.0002179
                     81,                0.53574,                0.35916,                0.86846,                 0.9167,                0.86306,                0.92711,                0.82574,                0.47192,                0.32552,                0.82976,               0.000208,               0.000208,               0.000208
                     82,                0.53591,                0.35869,                0.86884,                0.88891,                0.88795,                0.93037,                0.82842,                0.47079,                0.32511,                0.83031,              0.0001981,              0.0001981,              0.0001981
                     83,                0.53445,                0.35777,                0.86806,                0.88544,                0.88501,                0.93094,                0.82723,                0.47014,                0.32493,                0.82885,              0.0001882,              0.0001882,              0.0001882
                     84,                0.53397,                0.35745,                0.86732,                 0.8834,                0.88814,                0.92931,                0.82737,                0.47097,                0.32562,                0.82944,              0.0001783,              0.0001783,              0.0001783
                     85,                0.53355,                0.35827,                0.86764,                0.87465,                0.90628,                0.93132,                0.83041,                 0.4698,                0.32433,                0.82822,              0.0001684,              0.0001684,              0.0001684
                     86,                0.53223,                0.35477,                 0.8675,                0.88784,                0.90049,                0.93133,                0.82923,                 0.4695,                 0.3241,                0.82829,              0.0001585,              0.0001585,              0.0001585
                     87,                 0.5312,                0.35456,                0.86664,                0.88598,                0.88949,                0.92878,                0.82776,                0.46962,                0.32413,                0.82887,              0.0001486,              0.0001486,              0.0001486
                     88,                0.52726,                0.35171,                 0.8659,                0.85856,                 0.9079,                 0.9277,                0.82684,                0.46919,                0.32443,                0.82854,              0.0001387,              0.0001387,              0.0001387
                     89,                0.52572,                0.35107,                0.86458,                0.90434,                0.87133,                0.92887,                0.82819,                0.46926,                0.32394,                0.82893,              0.0001288,              0.0001288,              0.0001288
                     90,                0.52631,                0.35018,                 0.8657,                0.89991,                0.87147,                0.92847,                0.82759,                0.46873,                0.32327,                0.82876,              0.0001189,              0.0001189,              0.0001189
