                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95785,                 1.3662,                 1.0363,                0.75257,                0.61139,                0.64031,                0.50724,                0.73029,                0.69104,                0.90721,             0.00033252,             0.00033252,             0.00033252
                      2,                0.80767,                0.72304,                0.95783,                 0.8571,                0.75346,                0.82973,                 0.6518,                0.68879,                0.58753,                0.88987,             0.00044612,             0.00044612,             0.00044612
                      3,                0.75659,                0.63706,                0.93787,                0.89737,                0.76472,                0.83359,                0.68002,                 0.6212,                0.53155,                0.86836,             0.00033972,             0.00033972,             0.00033972
