                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97477,                 1.4906,                 1.0538,                0.88981,                0.56864,                0.60397,                0.47559,                0.74301,                0.71295,                0.91113,               0.070074,              0.0033252,              0.0033252
                      2,                0.86731,                0.78843,                0.99045,                0.90426,                0.57459,                0.63917,                0.50223,                0.74384,                0.65939,                0.91099,               0.039942,              0.0065267,              0.0065267
                      3,                0.88422,                0.74385,                0.99197,                 0.8166,                0.64951,                0.82962,                0.65542,                0.74009,                0.64587,                0.91796,              0.0096779,              0.0095962,              0.0095962
                      4,                0.87311,                0.71427,                0.99054,                0.78726,                0.79944,                0.82449,                0.65359,                0.70304,                0.59374,                0.91049,               0.009406,               0.009406,               0.009406
                      5,                0.83461,                0.66123,                0.97811,                0.72177,                0.82269,                  0.842,                0.67736,                0.67932,                 0.5384,                0.89849,               0.009208,               0.009208,               0.009208
                      6,                0.80416,                0.63233,                0.96766,                0.79101,                0.82362,                0.85992,                 0.6956,                0.66523,                 0.5227,                0.88977,                0.00901,                0.00901,                0.00901
                      7,                0.78488,                0.60662,                0.96298,                0.75762,                 0.8435,                0.85654,                0.69568,                0.64443,                0.50131,                0.88985,               0.008812,               0.008812,               0.008812
                      8,                0.76737,                0.58352,                0.95609,                0.83961,                0.79044,                0.86579,                0.71177,                0.63063,                0.48115,                0.88377,               0.008614,               0.008614,               0.008614
                      9,                0.75251,                0.56536,                0.95276,                0.81631,                0.86707,                0.87057,                0.71584,                0.64417,                0.48654,                0.89594,               0.008416,               0.008416,               0.008416
                     10,                0.74286,                0.55287,                0.94593,                0.82816,                 0.8316,                0.87663,                0.73278,                 0.6037,                0.46149,                0.87261,               0.008218,               0.008218,               0.008218
                     11,                0.72937,                0.53798,                0.94267,                0.86977,                0.82349,                0.87999,                0.73243,                0.61316,                0.45569,                0.87822,                0.00802,                0.00802,                0.00802
                     12,                 0.7173,                0.52942,                0.93924,                0.81666,                0.86783,                0.87797,                0.73733,                0.58749,                0.45595,                0.87019,               0.007822,               0.007822,               0.007822
                     13,                0.70995,                 0.5197,                0.93755,                0.85835,                0.84916,                0.89279,                0.74424,                 0.5917,                0.43904,                0.87042,               0.007624,               0.007624,               0.007624
                     14,                0.70217,                  0.515,                0.93385,                0.87173,                 0.8574,                0.89741,                0.75175,                0.58115,                0.43092,                0.86182,               0.007426,               0.007426,               0.007426
                     15,                0.69088,                0.50445,                0.93164,                0.83237,                  0.893,                0.89679,                0.75325,                0.58506,                0.42681,                 0.8658,               0.007228,               0.007228,               0.007228
