                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     16,                0.69134,                0.49854,                0.93021,                0.88609,                0.84091,                0.90068,                0.75947,                0.57779,                0.42153,                0.86417,                0.00703,                0.00703,                0.00703
                     17,                0.68345,                0.49488,                0.92642,                0.87553,                0.84554,                0.89346,                0.76007,                0.56282,                0.41652,                0.86145,               0.006832,               0.006832,               0.006832
                     18,                0.67749,                0.48792,                0.92679,                0.88003,                0.83119,                0.90088,                0.76306,                0.56893,                0.41421,                 0.8612,               0.006634,               0.006634,               0.006634
                     19,                0.66691,                0.48052,                0.92177,                0.84385,                0.84593,                0.89066,                0.74788,                 0.5603,                 0.4141,                0.85855,               0.006436,               0.006436,               0.006436
                     20,                0.66444,                0.47411,                0.92031,                0.79082,                0.89506,                0.90992,                0.77265,                0.55294,                 0.4016,                0.85511,               0.006238,               0.006238,               0.006238
                     21,                0.66098,                0.47323,                0.91926,                0.80341,                0.87588,                0.89935,                 0.7612,                0.54973,                0.40086,                 0.8563,                0.00604,                0.00604,                0.00604
                     22,                0.65461,                0.46637,                0.91696,                0.81865,                0.85117,                0.89077,                0.76021,                0.54811,                0.39392,                0.85642,               0.005842,               0.005842,               0.005842
                     23,                0.65171,                0.46387,                0.91568,                0.85615,                0.84846,                0.89538,                0.76331,                0.54351,                0.39192,                0.84911,               0.005644,               0.005644,               0.005644
                     24,                0.64492,                0.45735,                0.91427,                0.82439,                0.89148,                0.90682,                0.77887,                0.54087,                0.39047,                0.84971,               0.005446,               0.005446,               0.005446
                     25,                0.63969,                0.45337,                0.91209,                0.85791,                0.86968,                0.90991,                 0.7835,                0.53496,                0.38596,                0.84882,               0.005248,               0.005248,               0.005248
                     26,                0.63491,                0.44696,                0.90963,                0.85203,                 0.8851,                0.90907,                0.77663,                0.53766,                0.38928,                0.85027,                0.00505,                0.00505,                0.00505
                     27,                 0.6317,                0.44532,                0.90916,                0.88129,                0.86884,                0.91269,                 0.7855,                0.53509,                0.38086,                0.84678,               0.004852,               0.004852,               0.004852
                     28,                0.62558,                0.44122,                0.90813,                0.90697,                0.83747,                0.91486,                  0.789,                0.52788,                0.37905,                 0.8441,               0.004654,               0.004654,               0.004654
                     29,                0.62497,                0.43819,                0.90724,                0.88969,                 0.8566,                0.90607,                0.78504,                0.52207,                0.37628,                0.84589,               0.004456,               0.004456,               0.004456
                     30,                0.62025,                0.43619,                0.90531,                0.86312,                0.87557,                0.91208,                0.78817,                0.51921,                0.37269,                 0.8426,               0.004258,               0.004258,               0.004258
                     31,                0.61371,                0.43081,                 0.9037,                0.88812,                0.86696,                0.91675,                0.80156,                0.51342,                0.36717,                0.84412,                0.00406,                0.00406,                0.00406
                     32,                0.61071,                0.42773,                0.90157,                0.87075,                0.89321,                 0.9274,                0.80204,                0.51533,                0.37117,                0.84234,               0.003862,               0.003862,               0.003862
                     33,                0.60951,                0.42666,                0.90087,                0.89815,                0.86577,                0.92013,                0.79687,                0.51059,                 0.3647,                0.83899,               0.003664,               0.003664,               0.003664
                     34,                0.60211,                0.42078,                0.89977,                0.86989,                0.91338,                0.92728,                0.81137,                0.50947,                0.36041,                0.83848,               0.003466,               0.003466,               0.003466
                     35,                 0.5991,                0.41824,                0.89777,                0.84399,                0.91005,                0.90673,                0.79501,                0.51079,                0.36566,                0.84314,               0.003268,               0.003268,               0.003268
                     36,                0.59856,                 0.4147,                0.89676,                0.87242,                0.91595,                0.91956,                0.80289,                0.50956,                0.35916,                 0.8403,                0.00307,                0.00307,                0.00307
                     37,                0.59114,                0.41041,                0.89438,                0.84863,                0.89185,                0.91472,                0.80342,                0.50316,                0.35961,                0.83693,               0.002872,               0.002872,               0.002872
                     38,                0.58728,                0.40783,                0.89514,                0.84406,                0.90558,                0.92086,                0.80575,                0.50404,                0.35741,                0.83851,               0.002674,               0.002674,               0.002674
                     39,                0.58692,                0.40501,                 0.8938,                0.84738,                0.89645,                0.90872,                0.79415,                0.50105,                0.35579,                0.83605,               0.002476,               0.002476,               0.002476
                     40,                0.58029,                 0.4009,                0.89152,                0.84101,                0.92229,                0.92196,                0.80919,                0.49754,                0.35432,                0.83595,               0.002278,               0.002278,               0.002278
                     41,                 0.5769,                0.39888,                0.89179,                0.85393,                0.89449,                0.92407,                0.81291,                0.49601,                0.35232,                0.83707,                0.00208,                0.00208,                0.00208
                     42,                0.57253,                0.39542,                0.88855,                0.85129,                0.93013,                 0.9249,                0.81498,                0.49252,                0.34851,                0.83135,               0.001882,               0.001882,               0.001882
                     43,                0.57265,                 0.3937,                   0.89,                 0.8224,                0.92261,                0.91955,                0.80801,                0.49153,                0.34869,                0.83513,               0.001684,               0.001684,               0.001684
                     44,                0.56829,                0.39059,                 0.8874,                0.86975,                0.88877,                0.92234,                0.80705,                0.49016,                0.34693,                0.83232,               0.001486,               0.001486,               0.001486
                     45,                0.56487,                0.38788,                0.88639,                0.85801,                0.92212,                0.92225,                0.80574,                0.48886,                0.34473,                0.83183,               0.001288,               0.001288,               0.001288
                     46,                0.55815,                0.38424,                 0.8844,                 0.8597,                0.90431,                 0.9201,                0.81095,                0.48565,                0.34264,                0.82969,                0.00109,                0.00109,                0.00109
                     47,                0.55466,                0.37962,                0.88153,                0.86772,                0.92099,                 0.9269,                0.81656,                0.48426,                0.34215,                0.82963,               0.000892,               0.000892,               0.000892
                     48,                0.55306,                0.37929,                0.88268,                0.85717,                0.91997,                0.92704,                0.81788,                0.48256,                0.34101,                0.83013,               0.000694,               0.000694,               0.000694
                     49,                0.54866,                 0.3752,                0.88168,                0.86306,                0.91412,                0.92729,                0.81784,                0.48043,                0.33929,                0.83098,               0.000496,               0.000496,               0.000496
                     50,                0.54632,                0.37401,                0.87994,                0.86861,                0.91293,                0.92455,                0.81604,                0.47974,                0.34035,                0.83015,               0.000298,               0.000298,               0.000298
