                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99723,                 1.5251,                 1.0414,                0.89234,                0.56382,                0.60487,                0.47572,                0.74871,                0.71328,                0.89984,               0.067081,             0.00033252,             0.00033252
                      2,                0.82733,                0.71239,                0.96416,                0.80941,                0.62445,                0.65662,                0.52948,                0.68232,                0.59256,                0.87999,               0.033861,             0.00044612,             0.00044612
                      3,                0.77741,                0.63229,                 0.9452,                0.79639,                0.65278,                0.75964,                0.63167,                0.63237,                0.52345,                0.86837,             0.00042142,             0.00033972,             0.00033972
