                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97228,                 1.0697,                 1.0222,                0.76247,                0.60859,                0.64365,                0.49731,                0.79997,                0.68593,                 0.9213,               0.067081,             0.00033252,             0.00033252
                      2,                0.82248,                 0.6637,                0.96554,                0.59474,                0.81412,                0.79065,                0.63311,                0.70204,                0.55892,                0.89088,               0.033861,             0.00044612,             0.00044612
                      3,                0.76398,                0.59048,                0.94476,                0.81057,                0.78866,                0.86295,                0.71431,                 0.6321,                0.49804,                0.87192,             0.00042142,             0.00033972,             0.00033972
