                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0729,                 1.0358,                 1.0741,                0.55415,                0.46762,                0.44746,                0.28924,                  1.351,                 1.4894,                 1.2986,               0.070074,              0.0033252,              0.0033252
                      2,                0.96671,                 0.7462,                 1.0358,                0.68205,                0.77642,                0.79071,                0.60828,                0.83768,                 0.6707,                0.95936,               0.037876,              0.0044612,              0.0044612
                      3,                0.85091,                0.63501,                0.99057,                0.75761,                0.81511,                0.82854,                0.66565,                0.72465,                0.55404,                0.91889,              0.0034789,              0.0033972,              0.0033972
